32,16,8,4,2,1
1.476024,0.749284,0.751961,0.628182,0.629889,0.158305
1.331353,0.675209,0.63062,0.655591,0.658849,0.157306
1.483648,0.787357,0.699209,0.599528,0.60539,0.158245
1.504866,0.698215,0.657398,0.631349,0.619186,0.156949
1.383667,0.711286,0.693079,0.690533,0.603161,0.157486
1.39672,0.705033,0.627122,0.710221,0.600417,0.154527
1.553328,0.764734,0.621475,0.657767,0.663157,0.163464
1.365907,0.698022,0.748078,0.647233,0.695862,0.155784
1.370283,0.678934,0.697863,0.734316,0.653251,0.16063
1.300314,0.676039,0.74929,0.660149,0.593859,0.153784
