32,16,8,4,2,1
3.877976,2.927716,2.970039,2.884818,3.063111,2.889695
4.547647,2.868791,2.97138,2.959409,2.953151,2.785694
3.493352,2.857643,2.849791,2.971472,2.88861,2.749755
3.818134,2.997785,2.823602,2.946651,2.930814,2.750051
3.720333,2.943714,2.863921,2.802467,2.892839,2.662514
4.52528,2.978967,2.828878,2.849779,2.888583,2.750473
3.517672,2.938266,2.950525,2.785233,2.876843,2.671536
3.695093,2.980978,2.821922,2.880767,2.886138,2.655216
3.728717,2.962066,2.812137,2.908684,2.860749,2.75637
3.652686,3.052961,2.81671,2.873851,2.748141,2.618216
