32,16,8,4,2,1
1.520766,1.590486,1.503705,1.572225,1.542383,1.465552
1.559397,1.592422,1.489329,1.504021,1.601328,1.465049
1.487191,1.514378,1.492234,1.489353,1.511939,1.466057
1.485346,1.494182,1.509403,1.502708,1.498819,1.477173
1.579476,1.506767,1.478127,1.53851,1.505373,1.487663
1.481636,1.497938,1.498951,1.494955,1.489134,1.463581
1.525625,1.492164,1.491387,1.496223,1.507724,1.465416
1.556255,1.523292,1.507899,1.514133,1.509388,1.467794
1.609953,1.567369,1.497096,1.586985,1.522432,0.989889
1.49651,1.502166,1.496484,1.507423,1.505283,1.473677
