32,16,8,4,2,1
0.869699,0.827355,0.783049,0.75682,0.76717,0.139451
0.884804,0.892315,0.797425,0.709979,0.765257,0.139954
0.857245,0.872366,0.78406,0.718067,0.723497,0.1404
0.870281,0.882424,0.786123,0.710447,0.735162,0.141172
0.900884,0.800204,0.759071,0.737284,0.695742,0.139249
0.892014,0.881575,0.808307,0.769633,0.752,0.139794
0.914703,0.849622,0.782865,0.761628,0.709941,0.139522
0.856727,0.809117,0.821635,0.730891,0.80996,0.140292
0.863059,0.835784,0.804848,0.764422,0.722935,0.608086
0.863662,0.851142,0.787004,0.762408,0.723588,0.138754
